"model","winnow","trials","Accuracy","Kappa","AccuracySD","KappaSD"
"rules",FALSE,1,0.998492386552088,0.992487677294336,0.00460028723511901,0.0229222535757643
"rules",TRUE,1,0.998492386552088,0.992487677294336,0.00460028723511901,0.0229222535757643
"tree",FALSE,1,0.998492386552088,0.992487677294336,0.00460028723511901,0.0229222535757643
"tree",TRUE,1,0.998492386552088,0.992487677294336,0.00460028723511901,0.0229222535757643
"rules",FALSE,10,0.996977235036937,0.983551117207869,0.00732410381065283,0.0413187335421395
"rules",TRUE,10,0.998492386552088,0.992487677294336,0.00460028723511901,0.0229222535757643
"tree",FALSE,10,0.996977235036937,0.983551117207869,0.00732410381065283,0.0413187335421395
"tree",TRUE,10,0.998492386552088,0.992487677294336,0.00460028723511901,0.0229222535757643
"rules",FALSE,20,0.996977235036937,0.983551117207869,0.00732410381065283,0.0413187335421395
"rules",TRUE,20,0.998492386552088,0.992487677294336,0.00460028723511901,0.0229222535757643
"tree",FALSE,20,0.996977235036937,0.983551117207869,0.00732410381065283,0.0413187335421395
"tree",TRUE,20,0.998492386552088,0.992487677294336,0.00460028723511901,0.0229222535757643
